dipz,charge,casno,squib,state,config,diptot
,0,107186,NSRDS-NBS10,1,1,1.6000000e+000
,0,107197,1971Vau:21,1,1,1.8099999e+000
,0,107200,NSRDS-NBS10,1,1,2.7200000e+000
,0,107299,1969Rog/Sch:397,1,1,9.3800002e-001
,0,107313,1959Cur:1529,1,1,1.7700000e+000
,0,108861,NSRDS-NBS10,1,1,1.7000000e+000
,0,108883,1971Vau:21,1,1,3.3199999e-001
,0,108907,NSRDS-NBS10,1,1,1.6900001e+000
,0,108941,1971Vau:21,1,1,3.0200000e+000
,0,108952,1979Lar:175,1,1,1.2240000e+000
,0,109671,2000Fra/Xu:109671,1,1,3.9100000e-001
,0,109693,NSRDS-NBS10,1,1,2.0500000e+000
,0,109740,NSRDS-NBS10,1,1,4.0700002e+000
,0,109773,NSRDS-NBS10,1,1,3.7300000e+000
2.2499999e-001,0,109933,1971Hir/Cur:358,1,2,7.8200001e-001
,0,109944,1974Hel/Hel(II/6),1,1,1.9800000e+000
,0,109977,NSRDS-NBS10,1,1,1.8400000e+000
,0,109999,NSRDS-NBS10,1,1,1.6300000e+000
,0,110009,NSRDS-NBS10,1,1,6.6000003e-001
,0,110021,NSRDS-NBS10,1,1,5.5000001e-001
,0,110598,NSRDS-NBS10,1,1,4.1199999e+000
3.3100000e-001,0,110838,NISThydrocarbon,1,1,3.3100000e-001
,0,110861,NSRDS-NBS10,1,1,2.1900001e+000
,0,110883,NSRDS-NBS10,1,1,2.0799999e+000
8.0000001e-001,0,110894,1981Par/Buc:465,1,1,8.1999999e-001
5.2100003e-001,0,110894,1981Par/Buc:465,1,2,1.1890000e+000
,0,111433,NSRDS-NBS10,1,1,1.2100000e+000
,0,115071,NISThydrocarbon,1,1,3.6346000e-001
,0,115106,NSRDS-NBS10,1,1,1.3000000e+000
,0,115117,1961Laurie:1516,1,1,5.0300002e-001
,0,116143,NSRDS-NBS10,1,1,0.0000000e+000
,0,120923,1971Vau:21,1,1,3.2500000e+000
,0,123386,NSRDS-NBS10,1,1,2.5200000e+000
,0,123546,,1,1,
,0,123728,NSRDS-NBS10,1,1,2.7200000e+000
,0,124389,NSRDS-NBS10,1,1,0.0000000e+000
,0,124403,NSRDS-NBS10,1,1,1.0300000e+000
,0,127184,NSRDS-NBS10,1,1,0.0000000e+000
,0,141468,1974Hel/Hel(II/6),1,1,2.7300000e+000
,0,141786,NSRDS-NBS10,1,1,1.7800000e+000
,0,142290,NISThydrocarbon,1,1,1.9000000e-001
,0,142687,1974Hel/Hel(II/6),1,1,1.7400000e+000
,0,156592,NSRDS-NBS10,1,1,1.9000000e+000
,0,157222,NSRDS-NBS10,1,1,1.5900000e+000
2.4800000e+000,0,157266,1978Sue/Lov:5117,1,1,2.4800000e+000
6.7500001e-001,0,157335,1966Har/Cox:5049,1,1,6.7500001e-001
,0,185944,NISThydrocarbon,1,1,2.5999999e-001
,0,275514,NSRDS-NBS10,1,1,8.0000001e-001
0.0000000e+000,0,277101,,1,1,0.0000000e+000
,0,279232,NISThydrocarbon,1,1,9.0999998e-002
1.6800000e-001,0,285585,NISThydrocarbon,1,1,1.9200000e-001
,0,287274,NSRDS-NBS10,1,1,1.8500000e+000
,0,288142,1974Hel/Hel(II/6),1,1,2.9000001e+000
,0,288426,1974Hel/Hel(II/6),1,1,1.5000000e+000
,0,290379,NSRDS-NBS10,1,1,0.0000000e+000
,0,290879,NSRDS-NBS10,1,1,0.0000000e+000
,0,302012,NSRDS-NBS10,1,1,1.7500000e+000
,0,334883,NSRDS-NBS10,1,1,1.5000000e+000
1.5563999e+000,0,352932,2001Plu/Sue:3057,1,1,1.5563999e+000
,0,353366,1955Kra/Dai:184,1,1,1.9600000e+000
,0,353504,NSRDS-NBS10,1,1,9.4999999e-001
,0,353855,NSRDS-NBS10,1,1,1.3300000e+000
,0,359115,NSRDS-NBS10,1,1,1.4000000e+000
,0,372189,NSRDS-NBS10,1,1,1.5800000e+000
,0,420042,1974Hel/Hel(II/6),1,1,4.3200002e+000
,0,420122,NSRDS-NBS10,1,1,1.8500000e+000
,0,420462,NSRDS-NBS10,1,1,2.3199999e+000
0.0000000e+000,0,460128,,1,1,0.0000000e+000
,0,460195,NSRDS-NBS10,1,1,0.0000000e+000
1.6000000e+000,0,462066,1984Gra/Gub,1,1,1.6000000e+000
,0,463490,NSRDS-NBS10,1,1,0.0000000e+000
,0,463514,NSRDS-NBS10,1,1,1.4200000e+000
,0,463581,NSRDS-NBS10,1,1,7.1200001e-001
,0,463821,NSRDS-NBS10,1,1,0.0000000e+000
,0,497201,NISThydrocarbon,1,1,4.2359999e-001
,0,503173,NSRDS-NBS10,1,1,0.0000000e+000
