Cd,Kr,Cl,Co,Cr,Te,Cu,Pd,Ti,He,Li,Mass,filename,Mg,omit,nval,Mn,B,Mo,C,Hill,D,In,symno,F,Ag,H,I,Al,K,polyatomic,N,O,P,Rb,Ar,As,Na,S,Zn,Nb,V,Rh,Ne,Zr,X,Y,Ni,Jg,Fe,charge,Be,Ru,Sb,Sc,Br,Se,vibs,casno,Si,formula,Ga,Sn,Ca,Ge,Sr
0,0,0,0,0,0,0,0,0,0,0,8.008915709999999e+001,diazine13,0,n,30,0,0,0,4,C4H4N2,0,0,2,0,0,4,0,0,0,poly,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,289952,0,H4C4N2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.008915709999999e+001,pyrazine,0,n,30,0,0,0,4,C4H4N2,0,0,4,0,0,4,0,0,0,poly,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,290379,0,H4C4N2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.107691955999999e+001,triazine135,0,n,30,0,0,0,3,C3H3N3,0,0,12,0,0,3,0,0,0,poly,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,290879,0,H3C3N3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.206420000000000e+001,ttz,0,0,30,0,0,0,2,C2H2N4,0,0,4,0,0,2,0,0,0,poly,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,290960,0,H2C2N4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.818610000000000e+001,c7h14,0,n,42,0,0,0,7,C7H14,0,0,2,0,0,14,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,291645,0,H14C7,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.122126000000000e+002,cyclooct,0,n,48,0,0,0,8,C8H16,0,0,1,0,0,16,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,292648,0,H16C8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7.403550000000000e+001,oaa,0,n,28,0,0,0,2,C2H2O3,0,0,1,0,0,2,0,0,0,poly,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,298124,0,H2C2O3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.204515839000000e+001,n2h4,0,n,14,0,0,0,0,H4N2,0,0,2,0,0,4,0,0,0,poly,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,302012,0,H4N2,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,1.529310000000000e+002,cf3chcl2,0,n,44,0,0,0,2,C2HCl2F3,0,0,1,3,0,1,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,306832,0,H1C2F3Cl2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.204000000000000e+001,ch2nn,0,n,16,0,0,0,1,CH2N2,0,0,2,0,0,2,0,0,0,poly,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,334883,0,H2C1N2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.019000000000000e+001,etset,0,n,32,0,0,0,4,C4H10S,0,0,2,0,0,10,0,0,0,poly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,352932,0,H10C4S1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.806000000000000e+001,c2h5f,0,n,20,0,0,0,2,C2H5F,0,0,1,1,0,5,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,353366,0,H5C2F1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,8.246200000000000e+001,cofcl,0,n,28,0,0,0,1,CClFO,0,0,1,1,0,0,0,0,0,poly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,353491,0,C1O1F1Cl1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.600720215000000e+001,f2co,0,n,24,0,0,0,1,CF2O,0,0,2,2,0,0,0,0,0,poly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,353504,0,C1O1F2,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1.653650000000000e+002,cbrclf2,0,n,32,0,0,0,1,CBrClF2,0,0,1,2,0,0,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,353593,0,C1F2Cl1Br1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.502391052000000e+001,cf3cn,0,n,34,0,0,0,2,C2F3N,0,0,3,3,0,0,0,0,0,poly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,353855,0,C2N1F3,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1.324690000000000e+002,cf3cocl,0,n,42,0,0,0,2,C2ClF3O,0,0,1,3,0,0,0,0,0,poly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,354325,0,C2O1F3Cl1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.160144000000000e+002,cf3cof,0,n,42,0,0,0,2,C2F4O,0,0,1,4,0,0,0,0,0,poly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,354347,0,C2O1F4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.429300000000000e+002,chbrcf2,0,n,30,0,0,0,2,C2HBrF2,0,0,1,2,0,1,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,359080,0,H1C2F2Br1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.202000000000000e+001,c2hf3,0,n,30,0,0,0,2,C2HF3,0,0,1,3,0,1,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,359115,0,H1C2F3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.202000000000000e+001,c2hf3+,0,n,29,0,0,0,2,C2HF3,0,0,1,3,0,1,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,359115,0,H1C2F3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.020309000000000e+002,chf2chf2,0,n,38,0,0,0,2,C2H2F4,0,0,2,4,0,2,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,359353,0,H2C2F4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.140928000000000e+002,odfb,0,n,42,0,0,0,6,C6H4F2,0,0,2,2,0,4,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,367113,0,H4C6F2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.140928000000000e+002,mdfb,0,n,42,0,0,0,6,C6H4F2,0,0,2,2,0,4,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,372189,0,H4C6F2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.960630000000000e+002,sf5cf3,0,n,66,0,0,0,1,CF8S,0,0,1,8,0,0,0,0,0,poly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,373808,0,C1F8S1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.040037000000000e+002,cf3of,0,n,37,0,0,0,1,CF4O,0,0,1,4,0,0,0,0,0,poly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,373911,0,C1O1F4,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,1.709210000000000e+002,cf3cfcl2,0,n,50,0,0,0,2,C2Cl2F4,0,0,1,4,0,0,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,374072,0,C2F4Cl2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.860546000000000e+002,c6f6,0,n,66,0,0,0,6,C6F6,0,0,12,6,0,0,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,392563,0,C6F6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.009620000000000e+001,sic-,0,n,9,0,0,0,1,CSi,0,0,1,0,0,0,0,0,0,linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,409212,1,C1Si1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.009620000000000e+001,sic,0,n,8,0,0,0,1,CSi,0,0,1,0,0,0,0,0,0,linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,409212,1,C1Si1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.009620000000000e+001,sic+,0,n,7,0,0,0,1,CSi,0,0,1,0,0,0,0,0,0,linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,409212,1,C1Si1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.204000000000000e+001,cyanamide,0,n,16,0,0,0,1,CH2N2,0,0,1,0,0,2,0,0,0,poly,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,420042,0,H2C1N2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.302000000000000e+001,hocn,0,n,16,0,0,0,1,CHNO,0,0,1,0,0,1,0,0,0,poly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,420053,0,H1C1N1O1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.011376190000000e+001,thiirane,0,n,18,0,0,0,2,C2H4S,0,0,2,0,0,4,0,0,0,poly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,420122,0,H4C2S1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.404103087999999e+001,ch3cf3,0,n,32,0,0,0,2,C2H3F3,0,0,3,3,0,3,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,420462,0,H3C2F3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.609043884000000e+001,c431038,0,n,34,0,0,0,4,C4H6O2,0,0,2,0,0,6,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,431038,0,H6C4O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.006000000000000e+001,c4h2,0,n,18,0,0,0,4,C4H2,0,0,2,0,0,2,0,0,0,linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,460128,0,H2C4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.006000000000000e+001,c4h2+,0,n,17,0,0,0,4,C4H2,0,0,2,0,0,2,0,0,0,linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,460128,0,H2C4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.203540039000000e+001,c2n2,0,n,18,0,0,0,2,C2N2,0,0,2,0,0,0,0,0,0,linear,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,460195,0,C2N2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.203540039000000e+001,c2n2+,0,n,17,0,0,0,2,C2N2,0,0,2,0,0,0,0,0,0,linear,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,460195,0,C2N2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.609999999999999e+001,bzf,0,n,36,0,0,0,6,C6H5F,0,0,2,1,0,5,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,462066,0,H5C6F1,0,0,0,0,0
